FirstNm,LastNm,NRIC,Username,Password,Acc_Status,Role,DOB,Race,Rel,POB,Email,HomeAdd,Gender,Marital,Hp,BankNm,AccNum,EPF,TIN,Fm_Nm,Fm_NRIC,Relation,Fm_hp,Work_exp,DateJoined,DateResigned,CurrentPosition,Department,MonthlyGrossSalary,AnnualLeave,MedLeave,MaternityLeave,UnpaidLeave,NewPosition,EffectiveDate,HistoryofPositionChange,SalaryIncrement,SalaryIncrementHistory
John,Doe,910101028901,john.doe,P@ssw0rd,Unlocked,Human Resource Officer,1991-01-01,Chinese,Buddhist,Kuala Lumpur,johndoe@gmail.com,123 Jalan Bukit Bintang,Male,Single,012-3456789,Maybank,12345678,23456789,910101028901,Jane Doe,880505065432,Mother,011-22334455,3 years in Customer Service,2019-05-01,,Employee,Sales,3000,,,,,,,,,
Wei,Ming,880505055567,wming,W3!M1NG88,Unlocked,Department Manager,1988-05-05,Chinese,Taoist,Penang,weiming@yahoo.com,234 Jalan Sultan Ahmad Shah,Male,Married,014-6789012,Maybank,56789012,34567890,880505055567,Wang Li,900606037890,Wife,017-8765432,6 years in HR Management,2015-04-10,,Department Manager,Human Resources,4200,,,,,,,,,
Fahmi,Zul,920101123456,fahmi.zul,F@hm!9201,Locked,Payroll Officer,1992-01-01,Malay,Muslim,Kuala Terengganu,fahmizul@hotmail.com,78 Jalan Sultan Ismail,Male,Single,017-8901234,RHB,78901234,34567890,920101123456,Fahmi Ali,860202056789,Father,012-3456789,4 years in Call Center,2018-10-01,,Payroll Officer,Payroll,2800,,,,,,,,,
Nur,Azizah,890707055567,nur.azizah,Nur@zIz@H,Unlocked,Employee,1989-07-07,Malay,Muslim,Kota Bharu,nurazizah@gmail.com,45 Jalan Sultan Yahya Petra,Female,Married,014-6789012,CIMB,89012345,45678901,890707055567,Hasan Bakar,860606056789,Husband,019-8765432,10 years in Team Management,2011-08-15,,Senior Employee,Operations,6000,,,,,,,,,
Ravi,Krishna,900808076789,ravi.krishna,R@V!90kRsN,Locked,System Administrator,1990-08-08,Indian,Hindu,Georgetown,ravikrishna@gmail.com,45 Jalan Macalister,Male,Single,017-1234567,Maybank,34567890,56789012,900808076789,Sita Krishna,860101128901,Wife,014-6789012,5 years in Recruitment,2016-07-11,,System Administrator,IT,3500,,,,,,,,,
Kelly,Ong,950303028901,kelly.ong,K3LLyO95,Unlocked,Employee,1995-03-03,Chinese,Christian,Kota Bharu,kelly@yahoo.com,67 Jalan Hujung,Female,Single,017-6543210,Public Bank,12345678,67890123,950303028901,Ong Mei,900606037890,Father,014-6789012,3 years in IT Support,2020-03-12,,Junior Employee,IT Support,3600,,,,,,,,,
Nadia,Bakar,940909128901,nadia.bakar,N@DiA94,Unlocked,Payroll Officer,1994-09-09,Malay,Muslim,Seremban,nadia_bakar@gmail.com,34 Jalan Dato Bandar Tunggal,Female,Single,017-8901234,CIMB,67890123,78901234,940909128901,Salleh Aziz,870404105678,Husband,019-8765432,4 years in Customer Support,2018-06-30,,Payroll Officer,Customer Service,2900,,,,,,,,,
Aisha,Bakar,850808144567,aisha.bakar,A!Sh@85,Unlocked,Human Resource Officer,1985-08-08,Malay,Muslim,Klang,aisha_bakar@gmail.com,89 Jalan Kapar,Female,Married,019-8765432,Public Bank,56789012,67890123,850808144567,Abdul Bakar,910808076789,Husband,019-1234567,8 years in Payroll Administration,2014-09-01,,HR Officer,Finance,3200,,,,,,,,,
Arif,Ismail,910505034567,arif.ismail,AriF@91,Locked,System Administrator,1991-05-05,Malay,Muslim,Johor Bahru,arifismail@gmail.com,12 Jalan Kebun Teh,Male,Single,017-6543210,Maybank,12345678,67890123,910505034567,Azizah Ismail,850808144567,Mother,014-5678901,6 years in Network Management,2017-03-15,,System Administrator,IT,3500,,,,,,,,,
Siti,Azizah,920707059001,siti.azizah,S!ti92,Unlocked,Payroll Officer,1992-07-07,Malay,Muslim,Melaka,siti_azizah@gmail.com,21 Jalan Lintas,Female,Married,019-2345678,CIMB,89012345,67890123,920707059001,Salleh Aziz,870404105678,Husband,019-8765432,5 years in Operations Management,2018-06-01,,Payroll Officer,HR,5000,,,,,,,,,
Rina,Yusuf,940909148901,rina.yusuf,R1n@94,Unlocked,Junior Employee,1994-09-09,Malay,Muslim,Melaka,rinayusuf@gmail.com,65 Jalan Melaka Raya,Female,Single,014-5678901,Public Bank,67890123,23456789,940909148901,Ali Yusuf,910707055567,Father,012-3456789,7 years in Support Services,2016-02-20,,Junior Employee,Customer Service,2700,,,,,,,,,
